family,seed,variant,variant_label,country,contrast_country,topic,exact_pair,margin_switch,target_margin,contrast_margin
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Jamaica,United States,Geography and infrastructure,0.0,0.0,-3.7609835513619947,3.7609835513619947
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ireland,United Kingdom,Education,0.0,0.0,-3.216104501539201,3.216104501539201
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Kenya,United Kingdom,Education,0.0,0.0,-0.6832283373936425,0.6832283373936425
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ghana,United Kingdom,Education,0.0,0.0,-5.229324582359038,5.229324582359038
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",India,United Kingdom,Education,0.0,0.0,2.2861871289710365,-2.2861871289710365
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Jamaica,United States,Education,0.0,0.0,-1.1562325709738568,1.1562325709738568
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Jamaica,United States,Geography and infrastructure,0.0,0.0,-3.823094744178916,3.823094744178916
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Pakistan,India,Media and culture,0.0,0.0,-2.5881903042507366,2.5881903042507366
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Kenya,United Kingdom,Media and culture,0.0,0.0,-4.179096271083759,4.179096271083759
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Tanzania,United Kingdom,Media and culture,0.0,0.0,2.8095750250166738,-2.8095750250166738
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Tanzania,United Kingdom,Media and culture,0.0,0.0,-1.1025573684594399,1.1025573684594399
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Tanzania,United Kingdom,Media and culture,0.0,0.0,-0.39411484454152834,0.39411484454152834
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ireland,United Kingdom,Education,0.0,0.0,-3.5320591282047165,3.5320591282047165
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Tanzania,United Kingdom,Geography and infrastructure,0.0,0.0,0.41515418904604484,-0.41515418904604484
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",South Africa,United Kingdom,Economy and business,0.0,0.0,-1.8967167545629424,1.8967167545629424
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Jamaica,United States,Public life and holidays,0.0,0.0,-1.2512960746770752,1.2512960746770752
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Sri Lanka,India,Public life and holidays,0.0,0.0,1.9470789444822065,-1.9470789444822065
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Malaysia,United Kingdom,Geography and infrastructure,0.0,0.0,3.632142676378784,-3.632142676378784
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Ghana,United Kingdom,Public life and holidays,0.0,0.0,1.647108448863369,-1.647108448863369
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Sri Lanka,India,Geography and infrastructure,0.0,0.0,-0.7783092701230032,0.7783092701230032
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Jamaica,United States,Geography and infrastructure,0.0,0.0,-4.322784430683246,4.322784430683246
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Kenya,United Kingdom,Public life and holidays,0.0,0.0,-0.5602587486618686,0.5602587486618686
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Sri Lanka,India,Public life and holidays,0.0,0.0,-3.856242162739643,3.856242162739643
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",Sri Lanka,India,Education,0.0,0.0,-0.4567501574355006,0.4567501574355006
MAPLE Chat 3B,41,tminus_eminus,"(T-, I-)",India,United Kingdom,Politics and government,0.0,0.0,1.3267913541860148,-1.3267913541860148
